observed_packet_detection_rate,drop_rate,total_detected,total_attacks,final_buffer_utilization,final_throughput,p,lambda,rep
0.6,0.0,210,7,0.0,0.0,0.55,1.0,1
0.5485714285714286,0.0,384,14,0.0,0.0,0.55,1.0,2
0.512,0.0,128,5,0.0,0.0,0.55,1.0,3
0.6,0.0,180,6,0.0,0.0,0.55,1.0,4
0.5707692307692308,0.0,371,13,0.0,0.0,0.55,1.0,5
0.505,0.0,101,4,0.0,0.0,0.55,1.0,6
0.512,0.0,128,5,0.0,0.0,0.55,1.0,7
0.5828571428571429,0.0,204,7,0.0,0.0,0.55,1.0,8
0.56,0.0,252,9,0.0,0.0,0.55,1.0,9
0.5257142857142857,0.0,368,14,0.0,0.0,0.55,1.0,10
0.58,0.0,348,12,0.0,0.0,0.55,1.0,11
0.54875,0.0,439,16,0.0,0.0,0.55,1.0,12
0.5366666666666666,0.0,161,6,0.0,0.0,0.55,1.0,13
0.54,0.0,189,7,0.0,0.262144,0.55,1.0,14
0.5476923076923077,0.0,356,13,0.0,0.0,0.55,1.0,15
0.53,0.0,106,4,0.0,0.0,0.55,1.0,16
0.545,0.0,218,8,0.0,0.0,0.55,1.0,17
0.5327272727272727,0.0,293,11,0.0,0.0,0.55,1.0,18
0.5971428571428572,0.0,209,7,0.0,0.0,0.55,1.0,19
0.54,0.0,189,7,0.0,0.0,0.55,1.0,20
0.55,0.0,330,12,0.0,0.0,0.55,1.0,21
0.5584615384615385,0.0,363,13,0.0,0.0,0.55,1.0,22
0.5355555555555556,0.0,241,9,0.0,0.0,0.55,1.0,23
0.5366666666666666,0.0,161,6,0.0,0.0,0.55,1.0,24
0.524,0.0,262,10,0.0,0.0,0.55,1.0,25
0.5633333333333334,0.0,169,6,0.0,0.0,0.55,1.0,26
0.54,0.0,243,9,0.0,0.0,0.55,1.0,27
0.5633333333333334,0.0,169,6,0.0,0.0,0.55,1.0,28
0.545,0.0,218,8,0.0,0.0,0.55,1.0,29
0.0,0.0,0,0,0.0,0.0,0.7,0.1,0
0.7,0.0,70,2,0.0,0.0,0.7,0.1,1
0.0,0.0,0,0,0.0,0.0,0.7,0.1,2
0.8,0.0,80,2,0.0,0.0,0.7,0.1,3
0.0,0.0,0,0,0.0,0.0,0.7,0.1,4
0.79,0.0,79,2,0.0,0.0,0.7,0.1,5
0.8,0.0,40,1,0.0,0.0,0.7,0.1,6
0.75,0.0,75,2,0.0,0.0,0.7,0.1,7
0.7,0.0,70,2,0.0,0.0,0.7,0.1,8
0.0,0.0,0,0,0.0,0.0,0.7,0.1,9
0.0,0.0,0,0,0.0,0.0,0.7,0.1,10
0.72,0.0,72,2,0.0,0.0,0.7,0.1,11
0.0,0.0,0,0,0.0,0.0,0.7,0.1,12
0.68,0.0,34,1,0.0,0.0,0.7,0.1,13
0.0,0.0,0,0,0.0,0.0,0.7,0.1,14
0.71,0.0,71,2,0.0,0.0,0.7,0.1,15
0.8,0.0,40,1,0.0,0.0,0.7,0.1,16
0.75,0.0,75,2,0.0,0.0,0.7,0.1,17
0.72,0.0,36,1,0.0,0.0,0.7,0.1,18
0.0,0.0,0,0,0.0,0.0,0.7,0.1,19
0.65,0.0,65,2,0.0,0.0,0.7,0.1,20
0.72,0.0,72,2,0.0,0.0,0.7,0.1,21
0.0,0.0,0,0,0.0,0.0,0.7,0.1,22
0.75,0.0,75,2,0.0,0.0,0.7,0.1,23
0.0,0.0,0,0,0.0,0.0,0.7,0.1,24
0.7,0.0,35,1,0.0,0.0,0.7,0.1,25
0.0,0.0,0,0,0.0,0.0,0.7,0.1,26
0.71,0.0,142,4,0.0,0.0,0.7,0.1,27
0.72,0.0,36,1,0.0,0.0,0.7,0.1,28
0.78,0.0,39,1,0.0,0.0,0.7,0.1,29
0.6371428571428571,0.0,223,7,0.0,0.0,0.7,0.5,0
0.745,0.0,149,4,0.0,0.0,0.7,0.5,1
0.6933333333333334,0.0,104,4,0.0,0.0,0.7,0.5,2
0.6733333333333333,0.0,101,3,0.0,0.0,0.7,0.5,3
0.6971428571428572,0.0,244,7,0.0,0.0,0.7,0.5,4
0.6825,0.0,273,8,0.0,0.0,0.7,0.5,5
0.74,0.0,111,3,0.0,0.0,0.7,0.5,6
0.7133333333333334,0.0,107,3,0.0,0.0,0.7,0.5,7
0.692,0.0,173,5,0.0,0.0,0.7,0.5,8
0.71,0.0,355,10,0.0,0.0,0.7,0.5,9
0.7066666666666667,0.0,106,3,0.0,0.0,0.7,0.5,10
0.6942857142857143,0.0,243,7,0.0,0.0,0.7,0.5,11
0.66,0.0,99,3,0.0,0.0,0.7,0.5,12
0.67,0.0,67,2,0.0,0.0,0.7,0.5,13
0.6866666666666666,0.0,103,3,0.0,0.0,0.7,0.5,14
0.65,0.0,130,4,0.0,0.0,0.7,0.5,15
0.7233333333333334,0.0,217,6,0.0,0.0,0.7,0.5,16
0.695,0.0,139,4,0.0,0.0,0.7,0.5,17
0.7,0.0,245,7,0.0,0.0,0.7,0.5,18
0.685,0.0,137,4,0.0,0.0,0.7,0.5,19
0.74,0.0,74,2,0.0,0.0,0.7,0.5,20
0.6975,0.0,279,8,0.0,0.0,0.7,0.5,21
0.7433333333333333,0.0,223,6,0.0,0.0,0.7,0.5,22
0.7022222222222222,0.0,316,9,0.0,0.032768,0.7,0.5,23
0.7,0.0,35,1,0.0,0.0,0.7,0.5,24
0.6714285714285714,0.0,235,7,0.0,0.0,0.7,0.5,25
0.7,0.0,140,4,0.0,0.0,0.7,0.5,26
0.6971428571428572,0.0,244,7,0.0,0.0,0.7,0.5,27
0.66,0.0,165,5,0.0,0.0,0.7,0.5,28
0.6733333333333333,0.0,101,3,0.0,0.0,0.7,0.5,29
0.7,0.0,350,10,0.0,0.0,0.7,1.0,0
0.7181818181818181,0.0,395,11,0.0,0.0,0.7,1.0,1
0.74,0.0,296,8,0.0,0.0,0.7,1.0,2
0.7275,0.0,291,8,0.0,0.0,0.7,1.0,3
0.7,0.0,175,5,0.0,0.0,0.7,1.0,4
0.6907692307692308,0.0,449,13,0.0,0.0,0.7,1.0,5
0.6866666666666666,0.0,412,12,0.0,0.0,0.7,1.0,6
0.7061538461538461,0.0,459,13,0.0,0.0,0.7,1.0,7
0.705,0.0,282,8,0.0,0.0,0.7,1.0,8
0.676,0.0,338,10,0.0,0.0,0.7,1.0,9
0.6725,0.0,269,8,0.0,0.0,0.7,1.0,10
0.7325,0.0,293,8,0.0,0.0,0.7,1.0,11
0.6814285714285714,0.0,477,14,0.0,0.0,0.7,1.0,12
0.6925,0.0,277,8,0.0,0.0,0.7,1.0,13
0.69,0.0,276,8,0.0,0.0,0.7,1.0,14
0.7185714285714285,0.0,503,14,0.0,0.0,0.7,1.0,15
0.686,0.0,343,10,0.0,0.0,0.7,1.0,16
0.705,0.0,282,8,0.0,0.0,0.7,1.0,17
